emp_no,first_name,last_name,title
10014,Berni,Genin,Engineer
10029,Otmar,Herbst,Senior Engineer
10033,Arif,Merlo,Technique Leader
10042,Magy,Stamatiou,Senior Staff
10055,Georgy,Dredge,Staff
10099,Valter,Sullins,Senior Staff
10107,Dung,Baca,Senior Staff
10132,Ayakannu,Skrikant,Staff
10135,Nathan,Monkewich,Engineer
10142,Tzvetan,Hettesheimer,Senior Engineer
10145,Akemi,Esposito,Engineer
10164,Jagoda,Braunmuhl,Senior Engineer
10180,Shaw,Wendorf,Senior Staff
10188,Christ,Muchinsky,Senior Engineer
10201,Idoia,Kavraki,Senior Engineer
10202,Greger,Lichtner,Senior Engineer
10204,Nevio,Ritcey,Engineer
10209,Yolla,Ellozy,Senior Staff
10232,Marko,Auria,Senior Staff
10267,Shaunak,Cullers,Engineer
10285,Zhonghui,Preusig,Staff
10289,Shay,Poulakidas,Technique Leader
10293,Mihalis,Avouris,Senior Engineer
10297,Narain,Oaver,Senior Engineer
10304,Bernt,Erie,Senior Staff
10315,Maris,Angelopoulos,Senior Engineer
10320,Uinam,Stasinski,Senior Staff
10348,Mahendra,Picco,Technique Leader
10368,Hatim,Koshiba,Assistant Engineer
10380,Alejandro,Kamble,Senior Staff
10384,Feiyu,Luft,Senior Staff
10386,Eishiro,Miyakawa,Senior Engineer
10391,Hongzue,Akaboshi,Engineer
10403,Atreyi,Mungall,Senior Staff
10406,Sigeru,Wynblatt,Engineer
10411,Lidong,Klerer,Senior Staff
10416,Uli,Keustermans,Senior Staff
10423,Dante,Cronin,Staff
10437,Narain,Reeker,Engineer
10444,Kazuhira,Rosis,Staff
10452,Werner,Hasham,Senior Engineer
10461,Gal,Karcich,Senior Staff
10462,Sumali,Schlenzig,Senior Engineer
10467,Dipayan,Suomi,Staff
10470,Peternela,Iwayama,Senior Engineer
10475,Mario,Rodite,Engineer
10487,Perla,Middleton,Senior Engineer
10523,Malu,Skafidas,Senior Engineer
10530,Boriana,Coors,Senior Engineer
10559,Arumugam,Comellas,Staff
10563,Mohit,Spelt,Senior Engineer
10580,Christoper,Rehfuss,Senior Staff
10581,Odinaldo,Prochazka,Senior Engineer
10588,Shigeo,Dulay,Senior Engineer
10599,Seshu,Crelier,Technique Leader
10605,Moti,Wixon,Senior Engineer
10609,Janche,Zhang,Engineer
10649,Vitali,Welham,Senior Staff
10658,Junsik,Rijckaert,Senior Staff
10659,Dinah,Shackel,Senior Engineer
10661,Ottavia,Giarratana,Senior Staff
10669,Yurij,Iisaka,Senior Staff
10679,Neven,Brender,Senior Staff
10682,Bedir,Haumacher,Senior Staff
10684,Aimee,Tokunaga,Engineer
10717,Serap,Tasistro,Senior Staff
10720,Odinaldo,Kruskal,Senior Staff
10740,Suzette,Sadowski,Engineer
10754,Chenyi,Feinberg,Senior Staff
10759,JiYoung,Chenney,Technique Leader
10770,Bedir,Perry,Senior Staff
10772,Munehiro,Dayana,Senior Engineer
10775,Xiaoheng,Sluis,Senior Engineer
10797,Goetz,Hiyoshi,Engineer
10820,Baocai,Pena,Senior Staff
10822,Masaru,Passino,Senior Engineer
10823,Arfst,Mikschl,Staff
10862,Zhenbing,Kadhim,Senior Staff
10870,Shahid,Leppanen,Senior Engineer
10889,Cheong,Coors,Senior Staff
10914,Mizuhito,Prochazka,Staff
10917,Tesuya,Slaats,Senior Engineer
10946,Shaz,Kabayashi,Staff
10953,Jahangir,Laventhal,Senior Staff
10959,Kerryn,Vigier,Staff
10962,Naraig,Kugler,Senior Staff
10981,Sugwoo,Dulin,Senior Staff
10998,Marlo,Kandlur,Staff
11001,Baziley,Buchter,Senior Engineer
11011,Moti,Hofstetter,Engineer
11030,Kwan,Hellwagner,Staff
11055,Shaleah,Neiman,Staff
11062,Shay,Rettelbach,Senior Engineer
11068,Honglan,Harnett,Senior Staff
11080,Sanjai,Puppe,Senior Engineer
11088,Sadun,Hennings,Senior Engineer
11105,Holgard,McAlpine,Senior Engineer
11123,Herb,Cooley,Senior Staff
11127,Mayumi,Pashtan,Engineer
11128,Shunichi,Pusterhofer,Senior Engineer
11138,Adel,Matteis,Engineer
11150,Geraldo,Garigliano,Senior Staff
11160,Anwar,Nivat,Senior Engineer
11169,Moss,Serra,Senior Engineer
11178,Kellyn,Daescu,Staff
11188,Kazuyasu,Kushner,Senior Engineer
11219,Youpyo,Heuter,Senior Engineer
11222,Yishai,Neimat,Senior Staff
11227,Dayanand,Figueira,Senior Staff
11228,Utz,Puoti,Engineer
11230,Yakichi,Tzvieli,Senior Engineer
11241,Yolla,Clemencon,Staff
11248,Uinam,Tsukuda,Staff
11278,Sumali,Juneja,Senior Staff
11298,Jiong,Alvarado,Senior Engineer
11306,Subhankar,Reeken,Senior Staff
11312,Shih,Terlouw,Engineer
11329,Limsoon,McConalogue,Senior Staff
11332,Gunilla,Coney,Senior Engineer
11344,Paddy,Gulak,Senior Staff
11350,Zito,Moehrke,Senior Engineer
11370,Marek,Erie,Senior Engineer
11371,Tadahiko,Masamoto,Senior Engineer
11392,Fatemeh,Reeken,Staff
11422,Thanasis,Ghalwash,Senior Staff
11434,Prodip,Brendel,Senior Staff
11437,Supot,Vidya,Senior Staff
11442,Leucio,Rindone,Senior Engineer
11465,Tomoyuki,Porenta,Senior Engineer
11507,Kristian,Cangellaris,Engineer
11508,Ronnie,Ritcey,Technique Leader
11530,Oscar,Jarecki,Senior Staff
11535,Aemilian,Ohori,Staff
11552,Tommaso,Ferretti,Staff
